"Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address"
"439703.239;4473689.409;41786;01  CENTRO;01-01 PALACIO;HUMILLADERO, PLAZA, DEL;5;301110036;439703.239:4473689.409; PLAZA  DEL HUMILLADERO 5"
"439833.8088;4474770.94;41785;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;11;301110005;439833.8088:4474770.94; CALLE  DE ISABEL LA CATOLICA 11"
"439629.3439;4474143.39;41785;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;5;301110018;439629.3439:4474143.39; CALLE  DE JUAN DE HERRERA 5"
"439815.708;4474702.921;41785;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;1;301110006;439815.708:4474702.921; CALLE  DE LEGANITOS 1"
"439736.575;4474856.85;41785;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;22;301110003;439736.575:4474856.85; CALLE  DE LEGANITOS 22"
"439713.3511;4474899.919;41785;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;28;301110002;439713.3511:4474899.919; CALLE  DE LEGANITOS 28"
"439670.2133;4474954.732;41785;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;301110001;439670.2133:4474954.732; CALLE  DE LEGANITOS 47"
"439396.2082;4474068.682;41785;01  CENTRO;01-01 PALACIO;MAYOR, CALLE,;85;301110024;439396.2082:4474068.682; CALLE  MAYOR 85"
"439327.6308;4474007.468;42612;01  CENTRO;01-01 PALACIO;MAYOR, CALLE,;S/N;301110023;439327.6308:4474007.468; CALLE  MAYOR S/N"
"439384.1246;4473815.9;41786;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;12;301110033;439384.1246:4473815.9; CALLE  DE LA MORERIA 12"
"439512.5944;4473852.605;41786;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;3;301110039;439512.5944:4473852.605; PLAZA  DE LA MORERIA 3"
