city,date,emisorid,source,agentCode,noiseLevel,lat,lon
28123,2018/05/04 08:20:03.310,ruidosUser 2347,ruidos,User 2347,46,40.4449603,-3.6954757999999996
28123,2018/05/04 08:20:03.310,ruidosjcballesteros,ruidos,jcballesteros,45,40.4449779,-3.6954734999999994
