Gis_X;Gis_Y;Distrito;Barrio;Calle;Nº Finca;Color;Batería/Línea;Número de Plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;Verde;Línea;8
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;Verde;Línea;5
439589,03;4473514,18;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;1;Verde;Línea;2
439582,91;4473505,68;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;4;Verde;Línea;2
439575,49;4473495,34;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;8;Verde;Línea;3
439558,35;4473470,48;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;Verde;Línea;8
439536,49;4473428,32;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;Verde;Línea;4
439525,36;4473404,28;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;Verde;Línea;4
439585,13;4473916,72;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Verde;Línea;2
439598,21;4473917,52;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;Verde;Línea;3
439097,77;4473640,65;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;4
439090,09;4473635,79;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;Verde;Línea;1
439130,32;4473643,97;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;Verde;Línea;6
439129,02;4473639,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;Verde;Línea;13
439849,67;4473828,18;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;Verde;Línea;3
439820,49;4473821,97;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;6;Verde;Línea;1
439773,76;4473804,41;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;Verde;Línea;4
439748,29;4474317,87;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;Verde;Línea;4
439710,65;4474308,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;Verde;Línea;3
439672,91;4474299,24;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;Verde;Línea;4
439502,54;4473486,08;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;4
439904,38;4474455,99;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;5;Verde;Línea;10
439920,17;4474499,33;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;Verde;Línea;4
439927,81;4474538,2;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;13;Verde;Línea;2
439933,29;4474565,32;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;Verde;Línea;4
439505,82;4473783,6;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;1;Verde;Línea;2
439766,1;4474459,92;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;2;Verde;Línea;4
439706,22;4474507,94;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;9;Verde;Línea;3
439681,59;4474534,24;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;15;Verde;Línea;3
439674,45;4474541,75;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;Verde;Línea;1
439450,57;4473936,95;01  CENTRO;01-01 PALACIO;BAILEN, CALLE, DE;S/N;Verde;Línea;3
439351,98;4473875,53;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;Verde;Línea;2
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439259,13;4473850,22;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;35
439298,76;4473760,88;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;19
439724,66;4473414,35;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;1;Verde;Línea;3
439681,82;4473418,95;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;9;Verde;Línea;17
439630,32;4473424,66;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;Verde;Línea;2
439595,58;4473427,73;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;Verde;Línea;8
439570,91;4473438,1;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;24;Verde;Línea;10
439562,11;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;Verde;Línea;11
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;Verde;Línea;11
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;13
439465,91;4473515,93;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;11
439481,7;4473483,2;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;Verde;Línea;3
439806,5;4474475,36;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;2;Verde;Línea;5
439833,74;4474530,63;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;9;Verde;Línea;12
439833,18;4474566,92;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;Verde;Línea;3
439882,6;4474486,32;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;Verde;Línea;14
439503,72;4473884,11;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;Verde;Línea;7
439497,73;4473883,37;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;Verde;Línea;5
439910,74;4473770,38;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;Verde;Línea;6
439837,33;4473752,74;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;15;Verde;Línea;12
439755,99;4473708,19;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;34;Verde;Línea;8
439727,49;4473688,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439725,45;4473691,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439908,7;4473893,4;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;4;Verde;Línea;3
439897,36;4473871,42;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;8;Verde;Línea;6
439886,99;4473853,01;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;Verde;Línea;1
439882,88;4473844,18;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;14;Verde;Línea;2
439869,32;4473818,17;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;Verde;Línea;2
439771,16;4473736,97;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;37;Verde;Línea;14
439732,49;4473715,18;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;47;Verde;Línea;4
439871,7;4474112,65;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;Verde;Línea;3
439825,87;4473561,16;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;1
439787,14;4473588,95;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;5
439754,91;4473586,46;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;5;Verde;Línea;9
439810,74;4473571,88;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;S/N;Verde;Línea;6
439845,41;4473656,73;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;Verde;Batería;18
439819,66;4473650,74;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;Verde;Línea;4
439810,92;4473661,36;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;6;Verde;Batería;4
439798,47;4473663,35;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;6;Verde;Batería;3
439788,67;4473665,13;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;7;Verde;Batería;1
439764,67;4473658,84;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;Verde;Línea;4
439743;4473670,75;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;10;Verde;Batería;16
439745,04;4473661,78;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;10;Verde;Línea;3
439792,95;4473654,87;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;17;Verde;Línea;4
439021,38;4474066,43;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Batería;5
439103,63;4474048,5;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;30
439024,87;4474043,52;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Batería;6
438881,35;4474062,11;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;3
439103,85;4474056,23;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;30
438933,31;4474060,41;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;3
438945,45;4474053,19;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;24
438974,57;4474059,57;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;13
439868,52;4474194,68;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;3;Verde;Línea;3
439616,06;4474228,17;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;5;Verde;Línea;2
439371,54;4473301,89;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;3;Verde;Línea;25
439318,19;4473344,84;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;Verde;Línea;1
439299,64;4473360,16;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;12;Verde;Línea;2
439280,91;4473374,86;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;14;Verde;Línea;6
439740,43;4474927,25;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;Verde;Línea;2
439729,13;4474914,15;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;2;Verde;Línea;5
439762,9;4473942,82;01  CENTRO;01-01 PALACIO;DOCTOR LETAMENDI, CALLE, DEL;1;Verde;Línea;11
439577,21;4473680,76;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;6;Verde;Línea;17
439486,91;4473692,97;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;7;Verde;Línea;12
439465,78;4473704,74;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;11;Verde;Línea;2
439500,59;4473694,52;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;Verde;Línea;13
439405,49;4473712,21;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;17;Verde;Línea;5
439411,28;4473715,83;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;18;Verde;Línea;3
439377,82;4473717,23;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;19;Verde;Línea;2
439379,66;4473722,08;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;Verde;Línea;6
439667,65;4474607,52;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;1;Verde;Línea;7
439674,05;4474605,31;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;Verde;Línea;5
439615,64;4474677,68;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;5;Verde;Línea;1
439644,19;4474642,85;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;6;Verde;Línea;6
439629,06;4474655,22;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;8;Verde;Línea;12
439630,55;4474659,8;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;8;Verde;Línea;2
439622,35;4474669,55;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;Verde;Línea;3
439674,88;4474573,75;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;Verde;Línea;5
439680,97;4474570,9;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;Verde;Línea;5
439820,86;4474303,54;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;9;Verde;Línea;6
439618,28;4474925,35;01  CENTRO;01-01 PALACIO;ESPAÑA, PLAZA, DE;5;Verde;Línea;1
439776,49;4474313,15;01  CENTRO;01-01 PALACIO;ESPEJO, CALLE, DEL;15;Verde;Línea;5
439548,61;4474156,88;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;5;Verde;Línea;4
439537,3;4474205,31;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;7;Verde;Línea;1
439524,85;4474228,69;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;14;Verde;Línea;4
439785,14;4474867,94;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;5;Verde;Línea;5
439762,08;4474877,87;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;Verde;Línea;2
439740,07;4474887,09;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;11;Verde;Línea;6
439732,98;4474736,72;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;14;Verde;Línea;9
439697,94;4474819,13;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;30;Verde;Línea;6
439683,23;4474851,61;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;36;Verde;Línea;3
439364,46;4473780,19;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;2;Verde;Línea;10
439367,58;4473772,02;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;2;Verde;Línea;16
439356,61;4473747,04;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;4;Verde;Línea;5
439338,36;4473729,73;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;7;Verde;Línea;4
439344,28;4473723,01;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;7;Verde;Batería;10
439929,49;4473868,67;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;6;Verde;Línea;4
439556,66;4473267,07;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;4;Verde;Línea;5
439539,59;4473264,05;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;Verde;Línea;3
439557,92;4473233,14;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;Verde;Línea;9
439532,28;4473308,17;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;6;Verde;Línea;9
439518,23;4473300,07;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;9;Verde;Línea;11
439477,39;4473375,8;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;2
439469,83;4473394,98;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;1
439464,64;4473408,89;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;3
439487,66;4473392,83;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;6
439456,52;4473476,98;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;Verde;Línea;22
439447,18;4473455,79;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;Verde;Línea;9
439494,49;4473341,34;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;Verde;Línea;2
439451,46;4473320,82;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;Verde;Línea;20
439721,75;4474632,73;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;2;Verde;Línea;3
439681,01;4474683,21;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;11;Verde;Línea;4
439731,59;4473556,92;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;3;Verde;Línea;8
439712,57;4473643,11;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;4;Verde;Línea;6
439716,41;4473619,66;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;8;Verde;Línea;2
439720,95;4473594,81;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;10;Verde;Línea;2
439727,86;4473521,47;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;11;Verde;Línea;6
439730,41;4473513,65;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;11;Verde;Línea;5
439724,74;4473572,77;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;14;Verde;Línea;4
439727,7;4473555,52;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;16;Verde;Línea;2
439764,91;4474348,62;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;3;Verde;Línea;4
439766,13;4474368,96;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;5;Verde;Línea;1
439835,96;4474773,99;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;10;Verde;Línea;15
439555,34;4473345,03;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;3;Verde;Línea;17
439309,4;4473619,43;01  CENTRO;01-01 PALACIO;JERTE, CALLE, DE;8;Verde;Línea;21
439644,86;4474147,05;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;3;Verde;Línea;3
439808,53;4474722;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;1;Verde;Línea;3
439820,89;4474707,15;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;2;Verde;Línea;1
439793,06;4474741,8;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;6;Verde;Línea;1
439782,03;4474761,84;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;8;Verde;Línea;5
439772,99;4474767,88;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;15;Verde;Línea;3
439742,82;4474835,75;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;20;Verde;Línea;2
439728,16;4474865,1;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;24;Verde;Línea;8
439747,51;4474819,76;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;25;Verde;Línea;9
439733,53;4474846,84;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;31;Verde;Línea;1
439721,74;4474870,88;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;35;Verde;Línea;5
439692,98;4474936,32;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;45;Verde;Línea;6
439691,96;4474931,18;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;45;Verde;Línea;2
439685,45;4474944,62;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;Verde;Línea;2
439699,57;4473550,4;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;3;Verde;Línea;11
439667,95;4473557,69;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;8;Verde;Línea;1
439652,45;4473561,24;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;12;Verde;Línea;4
439635,92;4473565,19;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;14;Verde;Línea;1
439593,82;4473730,39;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;4;Verde;Línea;8
439556,07;4473736,71;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;8;Verde;Línea;7
439527,07;4473762,52;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;11;Verde;Línea;3
439513,41;4473787,96;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;16;Verde;Batería;8
439499,24;4473824,24;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;17;Verde;Línea;7
439502,07;4473825,37;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;18;Verde;Línea;8
439833,1;4474161,33;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;48;Verde;Línea;5
439418,98;4474069,04;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;Verde;Batería;6
439400,81;4474070,47;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;Verde;Batería;2
439320,14;4474023,75;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;Verde;Batería;9
439377,65;4474073,37;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;Verde;Línea;4
439386,09;4474080,95;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;90;Verde;Línea;2
439419,44;4474078,22;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;90;Verde;Línea;9
439330,12;4474050,91;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;Verde;Línea;21
439355,33;4474083,9;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;Verde;Línea;4
439326,22;4474072,61;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;Verde;Línea;8
439696,66;4473503,21;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;3;Verde;Línea;12
439621,86;4473515,82;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;15;Verde;Línea;4
439601,99;4473520,73;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;21;Verde;Línea;1
439533,14;4473882,37;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;5;Verde;Línea;13
439505,62;4473853,42;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;7;Verde;Línea;3
439421,19;4473835,09;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10;Verde;Línea;4
439471,84;4473847,8;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11;Verde;Línea;6
439389,91;4473815,59;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;12;Verde;Línea;10
439410,8;4473823,15;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;15;Verde;Línea;7
439510;4473865,84;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;5;Verde;Batería;4
439573,86;4474268,4;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;Verde;Línea;9
439547,03;4474269,99;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;5;Verde;Línea;2
439684,28;4473611,68;01  CENTRO;01-01 PALACIO;ORIENTE, CALLE, DE;5;Verde;Línea;14
439613,03;4473404,44;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;2;Verde;Línea;8
439609,03;4473381,27;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;6;Verde;Línea;3
439604,7;4473358,82;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;13;Verde;Línea;6
439678,75;4473665,66;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;3;Verde;Línea;6
439660,15;4473672,55;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;4;Verde;Batería;10
439684,78;4473678,73;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;8;Verde;Batería;6
439365,69;4473989,84;01  CENTRO;01-01 PALACIO;RAMON, CUESTA, DE;1;Verde;Línea;27
439402,98;4473994,9;01  CENTRO;01-01 PALACIO;RAMON, CUESTA, DE;3;Verde;Línea;5
439547,95;4473790,35;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;7;Verde;Línea;11
439461,91;4473721,07;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;14;Verde;Línea;4
439463,95;4473717,98;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;17;Verde;Línea;3
439413,46;4473467,54;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;7;Verde;Línea;8
439386,17;4473452,9;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;13;Verde;Línea;2
439370,71;4473444,66;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;17;Verde;Línea;1
439356,99;4473437,53;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;19;Verde;Línea;2
439343,09;4473437;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;21;Verde;Línea;43
439325,01;4473420,52;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;25;Verde;Línea;10
439277,93;4473395,72;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;31;Verde;Línea;6
439617,37;4473873,91;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;6;Verde;Línea;17
439601,59;4473833,74;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;10;Verde;Línea;1
439442,88;4473421,01;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;Verde;Línea;3
439439,39;4473422,94;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;Verde;Línea;4
439422,03;4473413,42;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;10;Verde;Línea;1
439393,06;4473397,86;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;16;Verde;Línea;11
439391,21;4473392,98;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;16;Verde;Línea;9
439327,68;4473357,61;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;17;Verde;Línea;5
439364,81;4473382,55;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;22;Verde;Línea;1
439350,82;4473375,31;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;24;Verde;Línea;3
