COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00637400;CALLE;DE;REQUENA;00627900;PLAZA;DE;RAMALES;00088200;CALLE;DE;BAILÉN
00637500;CALLE;DE LA;RESINA;00045700;AVENIDA;DE;ANDALUCÍA;00632200;AVENIDA;;REAL DE PINTO
00637700;CALLE;DE LA;RESINERÍA;00012300;CALLE;DE;AJOFRÍN;00255600;CALLE;DE LA;EBANISTERÍA
00001442;CALLE;DEL;RETABLO DE MELISENDRA;00001431;AVENIDA;DEL;CAMPO DE CALATRAVA;31001563;ESTACION DE METRO;;TRES OLIVOS
00000874;CALLE;DE LA;RETAMA;00000873;CALLE;DEL;ACANTO;00501700;CALLE;DE;MÉNDEZ ÁLVARO
00637800;CALLE;DEL;RETAMAR;00524300;CALLE;DE;MOSCATELAR;00758800;CALLE;DE;ULISES
00637865;CALLE;DE LOS;RETRASOS;00265610;CALLE;DE;LOS ENCIERROS;99000001;LUGAR;;FONDO DE SACO
00637890;CALLE;DE;REUS;00007900;CALLE;DEL;AGUACATE;00001705;CALLE;DE LA;SECOYA
00637900;CALLE;DE;REVENGA;00151900;CALLE;DE;CASCAJARES;00636300;PLAZA;DE;REMONDO
00638000;CALLE;DEL;REVENTÓN;00456500;CALLE;DEL;MALAGOSTO;00226000;CALLE;DE;CUEVA VALIENTE
00638100;PLAZA;DE LA;REVERENCIA;00335800;CALLE;DE;GERMÁN PÉREZ CARRASCO;00260000;CALLE;DEL;ELFO
00638400;PASEO;DEL;REY;00687515;CUESTA;DE;SAN VICENTE;00305100;CALLE;DE;FRANCISCO Y JACINTO ALCÁNTARA
00638500;PLAZA;DEL;REY;00094000;CALLE;DEL;BARQUILLO;00373600;CALLE;DE LAS;INFANTAS
00638600;CALLE;DEL;REY FRANCISCO;00610000;CALLE;DE LA;PRINCESA;00596300;PASEO;DEL;PINTOR ROSALES
00638700;CALLE;DE LOS;REYES;00661700;CALLE;DE;SAN BERNARDO;00273600;PLAZA;DE;ESPAÑA
00638900;CALLE;DE;REYES AIZQUÍBEL;00238800;PASEO;DE LA;DIRECCIÓN;00238800;PASEO;DE LA;DIRECCIÓN
00639000;AVENIDA;DE LOS;REYES CATÓLICOS;00219500;PLAZA;DEL;CRISTO REY;00067700;AVENIDA;DEL;ARCO DE LA VICTORIA
00639100;CALLE;DE LOS;REYES MAGOS;00603200;CALLE;DEL;PORTAL DE BELÉN;00499700;AVENIDA;DEL;MEDITERRÁNEO
00639150;PLAZA;DE LOS;REYES MAGOS;00039900;CALLE;DE;AMADO NERVO;00204900;CALLE;DEL;CONDE DE CARTAGENA
00639250;CALLE;DE;RIAÑO;00363650;AVENIDA;DE LA;HISPANIDAD;00729200;CALLE;DE;SOTO HIDALGO
00639300;CALLE;DE;RIAZA;00369600;CARRETERA;DE;HÚMERA;00320750;AVENIDA;DE LA;GALAXIA
00639400;CALLE;DE;RIBADAVIA;00106100;AVENIDA;DE;BETANZOS;00337350;CALLE;DE;GINZO DE LIMIA
00639500;CALLE;DE;RIBADELAGO;00641800;CALLE;DE;RIOCONEJOS;00684800;CALLE;DE;SAN ROMÁN DEL VALLE
00639550;PLAZA;DE;RIBADEO;00514425;AVENIDA;DE;MONFORTE DE LEMOS;00514425;AVENIDA;DE;MONFORTE DE LEMOS
00639600;CALLE;DE;RIBADESELLA;00762600;CALLE;DE;VALDECANILLAS;00133200;CALLE;DE;CANGAS DE ONÍS
00639650;CALLE;DE;RIBADUMIA;00171400;CALLE;DE;CIRCE;00131000;CALLE;DEL;CANAL DEL BÓSFORO
31004102;CAMINO;DE LA;RIBERA;00135180;CAMINO;DEL;SANTÍSIMO;00906332;CAMINO;DE;VALDECARROS
00639680;CALLE;DE LA;RIBERA DE CURTIDORES;00152000;PLAZA;DE;CASCORRO;00002900;PASEO;DE LAS;ACACIAS
00002735;CALLE;DE LA;RIBERA DEL LOIRA;00000909;GLORIETA;DEL;RÍO URUBAMBA;00001110;AVENIDA;DEL;CONSEJO DE EUROPA
00639800;CALLE;DE LA;RIBERA DEL MANZANARES;00613100;PUENTE;DEL;REY;00612600;PUENTE;DE LOS;FRANCESES
00001111;CALLE;DE LA;RIBERA DEL SENA;00000909;GLORIETA;DEL;RÍO URUBAMBA;00001105;GLORIETA;DE;S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG
00639900;CALLE;DE;RIBOTA;00605900;CALLE;DE;PRADALES;00157300;CALLE;DE;CASTROSERNA
00511150;CALLE;DE;RICARDO BELLVER;00333700;CALLE;DE;JOAQUÍN TURINA;00493050;CALLE;DE;MASCARAQUE
