TX_CAPA;TX_NOMBRE;Shape_Leng
CICLOCALLES;Avenida Monasterio de Silos;430,0794512
CICLOCALLES;Calle Pez Volador;328,4861783
CICLOCALLES;Calle Samaria;392,093452
CICLOCALLES;Avenida Nazaret;298,0997175
CICLOCALLES;Avenida Nazaret;294,6436099
CICLOCALLES;Calle Astros;250,0181975
PEATONAL;Intercambiador Pza. Castilla;134,0447999
CICLOCALLES;Calle de San Benito;343,8026372
CICLOCALLES;Calle de San Benito;350,8543169
CICLOCALLES;Calle de San Benito;345,2505644
