FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
38;155C Giro de Cintura;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155C.pdf;-16,31935385;28,43133124
39;154C Slalom;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154C.pdf;-16,31931822;28,43135861
40;155F Barras Paralelas;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155F.pdf;-16,31928979;28,43138592
41;155H El Jinete;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,31928615;28,43134621
42;AMM-005 Varios;Kido;Avda. Pedro Schwartz; ;-16,193537;28,50637208
43;AMM-004 Varios;Kido;Avda. Pedro Schwartz; ;-16,19357344;28,50638286
44;155H El Jinete;TUYO HPC;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,26300936;28,4634173
45;154G Rueda Grande;TUYO HPC;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,2629893;28,46346614
46;155B Los Patines;TUYO HPC;Pza. Los Sabandeños;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,26252628;28,46058356
47;202T Bicicleta Estática;TUYO HPC;Pza. Los Sabandeños;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26253549;28,46054499
48;207T Step & Twist;TUYO HPC;Pza. Los Sabandeños;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,26255316;28,46048411
49;155H El Jinete;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,24491815;28,47718266
50;155I El Remo;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,24481821;28,47725236
51;155B Los Patines;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,24445658;28,47751038
52;202T Bicicleta Estática;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,24428413;28,47764549
