FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
184;PF26 Pulse;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF26.pdf;-16,27560779;28,46591181
185;PF31 Barras Paralelas;Novatilu;Avda. Nuestra Sra. del Carmen;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF31.pdf;-16,23848612;28,48944637
186;PF26 Pulse;Novatilu;Avda. Nuestra Sra. del Carmen;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF26.pdf;-16,23848946;28,48942554
187;JSA018 Bicicleta adaptada;Fundiciones Benito;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018D.pdf;-16,24544198;28,47672348
188;JSA003 Silla Pectorales;Fundiciones Benito;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003.pdf;-16,24591105;28,47617676
189;JSA019 Bíceps;Fundiciones Benito;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA019D.pdf;-16,24606456;28,47595275
190;JSA006 Climber;Fundiciones Benito;Hermanos Maffiotte;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,27584959;28,45474041
191;JSA003 Silla Pectorales;Fundiciones Benito;Hermanos Maffiotte;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003.pdf;-16,27580568;28,45472966
192;JSA001 Waist;Fundiciones Benito;Hermanos Maffiotte;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA001.pdf;-16,27582637;28,45469971
193;JSA003 Silla Pectorales;Fundiciones Benito;Magec;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003.pdf;-16,28181789;28,44882226
194;JSA006 Climber;Fundiciones Benito;Magec;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,28185206;28,4488431
195;JSA001 Waist;Fundiciones Benito;Magec;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA001.pdf;-16,28188173;28,44882166
196;JSA006 Climber;Fundiciones Benito;Pza. Cheo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,27969153;28,45272159
197;JSA003 Silla Pectorales;Fundiciones Benito;Pza. Cheo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003.pdf;-16,27974353;28,45273168
198;JSA001 Waist;Fundiciones Benito;Pza. Cheo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA001.pdf;-16,27986667;28,45251712
199;JCIR06  Barras Paralelas;Fundiciones Benito;San Juan de la Rambla;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR06.pdf;-16,27642711;28,46989804
200;JSA006 Climber;Fundiciones Benito;Pza. La Victoria;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,25995687;28,45895638
201;JSA018 Bicicleta;Fundiciones Benito;Pza. Concha Castro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018.pdf;-16,27765293;28,47388393
202;JSA018 Bicicleta adaptada;Fundiciones Benito;Pza. Concha Castro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018D.pdf;-16,27763713;28,47390877
203;JSA005 Rueda;Fundiciones Benito;Pza. Concha Castro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA005.pdf;-16,27761048;28,47389898
204;JSA009 Timón;Fundiciones Benito;Pza. Concha Castro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA009.pdf;-16,27762434;28,47386997
205;JCIR07 Pulse;Fundiciones Benito;San Juan de la Rambla;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR07.pdf;-16,27648594;28,46993585
206;JCIR07 Pulse;Fundiciones Benito;Pza. Francisco Hernández Barroso;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR07.pdf;-16,26677115;28,47052333
207;JSA004 Barras;Fundiciones Benito;Pza. Francisco Hernández Barroso;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA004.pdf;-16,26673835;28,4705028
208;JCIR07 Pulse;Fundiciones Benito;P. Secundino Delgado;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR07.pdf;-16,26311353;28,47133236
209;JSA004 Barras;Fundiciones Benito;P. Secundino Delgado;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA004.pdf;-16,26313903;28,47129509
210;JSA018 Bicicleta;Fundiciones Benito;Pza. Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018.pdf;-16,2444121;28,48038521
211;JSA008 Remo;Fundiciones Benito;Pza. Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA008.pdf;-16,24436018;28,48038393
212;JSA001 Cintura;Fundiciones Benito;Pza. Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA001.pdf;-16,24435751;28,48032575
213;JSA009 Timón;Fundiciones Benito;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA009.pdf;-16,26336605;28,46199418
214;JSA018 Bicicleta adaptada;Fundiciones Benito;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018D.pdf;-16,2636143;28,46111019
215;JSA019 Bíceps;Fundiciones Benito;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA019D.pdf;-16,26367223;28,46090385
216;JCIR07 Pulse;Fundiciones Benito;Ctra. El Bailadero;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR07.pdf;-16,23366197;28,53714614
217;JSA006 Climber;Fundiciones Benito;Ctra. El Bailadero;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,23363501;28,53712388
218;JCIR07 Pulse;Fundiciones Benito;San Antonio (Taganana);https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR07.pdf;-16,21826326;28,56226892
219;JSA006 Climber;Fundiciones Benito;San Antonio (Taganana);https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA006.pdf;-16,21822762;28,56226638
220;JSA009 Timón;Fundiciones Benito;Andrómeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA009.pdf;-16,244741;28,48353117
221;JSA018 Bicicleta;Fundiciones Benito;Andrómeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018.pdf;-16,2445641;28,48334413
222;JCIR03 Espaldera;Fundiciones Benito;Avda. Nuestra Sra. del Carmen;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JCIR03.pdf;-16,23847333;28,4894499
